isoform	chrom	strand	length	exons	structural_category	associated_gene	associated_transcript	ref_length	ref_exons	diff_to_TSS	diff_to_TTS	subcategory	RTS_stage	all_canonical	min_sample_cov	min_cov	min_cov_pos	sd_cov	FL	n_indels	n_indels_junc	bite	iso_exp	gene_exp	ratio_exp	FSM_class	coding	ORF_length	CDS_length	CDS_start	CDS_end	perc_A_downstream_TTS
PB.2712.3	chr16	+	5181	11	full-splice_match	Il1rap	ENSMUST00000023156	4520	11	-1	-660	multi-exon	FALSE	canonical	4	176	482	97.9744864748	140	1	0	FALSE	4856.0525	5202.2525	0.933451903767	C	coding	570	1710	133	1842	20.0
PB.2712.2	chr16	+	2776	11	full-splice_match	Il1rap	NM_001159318	4320	11	46	1498	multi-exon	FALSE	canonical	3	5	1482	124.779806059	3	4	0	FALSE	79.155	5202.2525	0.0152155244291	C	coding	685	2055	138	2192	25.0
PB.2712.1	chr16	+	1947	8	full-splice_match	Il1rap	NM_134103	2352	8	4	401	multi-exon	FALSE	canonical	4	176	529	110.918889284	5	0	0	FALSE	267.045	5202.2525	0.0513325718042	C	coding	360	1080	180	1259	5.0
PB.2722.1	chr16	+	1754	4	full-splice_match	Ncbp2	NM_026554	2037	4	-11	294	multi-exon	FALSE	canonical	4	557	193	155.903816502	38	0	0	FALSE	3965.25	3965.25	1.0	A	coding	156	468	116	583	30.0
PB.2817.1	chr16	-	4516	23	novel_in_catalog	Robo2	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	3	13	2317	9.53939201417	3	0	0	FALSE	568.75	568.75	1.0	A	coding	1188	3564	624	4187	30.0
PB.2649.2	chr16	-	3397	4	full-splice_match	Ube2v2	ENSMUST00000115777	4207	4	26	784	multi-exon	FALSE	canonical	1	1	314	524.89236992	1	4	1	FALSE	5465.1925	5792.25	0.943535327377	C	coding	145	435	24	458	20.0
PB.2649.1	chr16	-	4179	4	full-splice_match	Ube2v2	ENSMUST00000115777	4207	4	21	7	multi-exon	FALSE	canonical	1	1	319	524.89236992	43	5	0	FALSE	327.0575	5792.25	0.0564646726229	C	coding	145	435	29	463	30.0
PB.2827.1	chr16	+	1814	6	full-splice_match	N6amt1	ENSMUST00000054442	1884	6	59	11	multi-exon	FALSE	canonical	4	111	405	188.122300645	2	2	0	FALSE	1720.75	1720.75	1.0	A	coding	214	642	10	651	50.0
PB.2843.3	chr16	-	3431	22	full-splice_match	Gart	XM_006522911	3434	22	-10	13	multi-exon	FALSE	canonical	4	63	204	208.305064749	2	5	1	FALSE	524.7975	7197.7525	0.0729113011318	C	coding	1010	3030	250	3279	50.0
PB.2784.1	chr16	-	3021	9	full-splice_match	Qtrtd1	XM_006521668	3046	9	13	12	multi-exon	FALSE	canonical	4	20	1138	20.7123151772	9	0	0	FALSE	922.5	922.5	1.0	A	coding	416	1248	120	1367	50.0
PB.2766.1	chr16	+	1704	1	incomplete-splice_match	Gsk3b	XM_006522426	6904	12	5196	5	mono-exon	FALSE	canonical	NA	NA	NA	NA	3	3	NA	FALSE	18891.5	19960.75	0.946432373533	B	non_coding	NA	NA	NA	NA	10.0
PB.2771.1	chr16	-	2743	1	genic	Timmdc1	novel	NA	NA	NA	NA	mono-exon	FALSE	canonical	NA	NA	NA	NA	2	3	NA	FALSE	1872.1175	1872.1175	1.0	A	non_coding	NA	NA	NA	NA	0.0
PB.2829.2	chr16	+	2698	17	novel_in_catalog	Usp16	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	25	969	68.8476579122	5	0	0	FALSE	69.7725	1682.2	0.0414769349661	C	coding	640	1920	498	2417	35.0
PB.2720.1	chr16	-	2784	5	novel_in_catalog	Acap2	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	2	10	738	8.77496438739	2	3	0	FALSE	76.25	1035.75	0.0736181510982	B	non_coding	NA	NA	NA	NA	70.0
PB.2829.1	chr16	+	2871	18	full-splice_match	Usp16	NM_024258	2921	18	45	5	multi-exon	FALSE	canonical	4	25	1141	67.6904720031	21	0	0	FALSE	1315.3175	1682.2	0.781903162525	C	coding	825	2475	115	2589	35.0
PB.2764.1	chr16	-	2724	1	antisense	novelGene_Lrrc58_AS	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	NA	NA	NA	NA	28	0	NA	FALSE	9102.0575	9102.0575	1.0	A	non_coding	NA	NA	NA	NA	95.0
PB.2809.1	chr16	+	2862	10	full-splice_match	Mina	NM_025910	2159	10	33	-736	multi-exon	FALSE	canonical	4	119	1054	82.5530132703	16	1	0	FALSE	2538.9875	2538.9875	1.0	A	coding	465	1395	167	1561	35.0
PB.2726.1	chr16	+	1688	4	full-splice_match	Cep19	NM_025892	1701	4	12	1	multi-exon	FALSE	canonical	4	179	298	54.0185153443	40	0	0	FALSE	2114.0	2114.0	1.0	A	coding	163	489	411	899	30.0
PB.2752.1	chr16	+	2727	1	full-splice_match	Wdr5b	ENSMUST00000042203	1784	1	10	-953	mono-exon	FALSE	canonical	NA	NA	NA	NA	7	5	NA	FALSE	229.22	229.22	1.0	A	coding	328	984	314	1297	20.0
PB.2762.1	chr16	+	2421	7	incomplete-splice_match	Fstl1	NM_008047	3609	11	414	774	internal_fragment	FALSE	canonical	4	207	140	440.235164429	3	0	0	FALSE	39.2575	12450.5025	0.00315308558831	C	coding	44	132	471	602	90.0
PB.2821.1	chr16	+	1833	1	incomplete-splice_match	Cxadr	NM_001025192	5566	7	3724	10	mono-exon	FALSE	canonical	NA	NA	NA	NA	1	0	NA	FALSE	69.075	2070.2525	0.0333654952717	C	non_coding	NA	NA	NA	NA	5.0
PB.2778.7	chr16	+	3011	6	novel_in_catalog	Zbtb20	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	30	118	51.7590571784	1	2	0	FALSE	400.9525	6027.5025	0.0665205033096	C	coding	741	2223	373	2595	85.0
PB.2778.6	chr16	+	2797	5	full-splice_match	Zbtb20	XM_006522424	5937	5	271	2869	multi-exon	FALSE	canonical	4	21	251	56.6480361531	1	3	0	FALSE	90.4825	6027.5025	0.0150116072121	C	coding	668	2004	460	2463	80.0
PB.2778.5	chr16	+	3010	6	full-splice_match	Zbtb20	XM_006522418	6101	6	222	2869	multi-exon	FALSE	canonical	4	31	300	49.244289009	2	6	0	FALSE	264.535	6027.5025	0.0438879950693	C	coding	741	2223	454	2676	80.0
PB.2778.4	chr16	+	3326	8	novel_not_in_catalog	Zbtb20	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	2	3	244	50.8920426	1	2	0	FALSE	200.3425	6027.5025	0.0332380617013	C	coding	741	2223	761	2983	80.0
PB.2778.3	chr16	+	2840	6	novel_in_catalog	Zbtb20	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	21	214	51.4101157361	1	2	0	FALSE	666.9675	6027.5025	0.110654039546	C	coding	668	2004	423	2426	80.0
PB.2778.2	chr16	+	2847	2	novel_in_catalog	Zbtb20	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	44	131	NA	3	2	0	FALSE	194.77	6027.5025	0.0323135494344	C	non_coding	NA	NA	NA	NA	80.0
PB.2671.1	chr16	+	2218	12	full-splice_match	Trmt2a	ENSMUST00000115640	2367	12	145	4	multi-exon	FALSE	canonical	4	161	224	78.3517708798	4	1	0	FALSE	2839.25	2839.25	1.0	A	coding	613	1839	204	2042	30.0
PB.2805.1	chr16	-	3563	18	full-splice_match	Tbc1d23	ENSMUST00000023431	3648	18	85	0	multi-exon	TRUE	canonical	4	33	1321	49.355850717	2	7	1	FALSE	1656.0	1656.0	1.0	A	coding	684	2052	16	2067	30.0
PB.2778.9	chr16	+	1408	1	genic_intron	novelGene_8	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	NA	NA	NA	NA	1	1	NA	FALSE	123.25	123.25	1.0	A	non_coding	NA	NA	NA	NA	90.0
PB.2778.8	chr16	+	2943	7	novel_not_in_catalog	Zbtb20	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	3	4	81	52.6782687643	1	0	0	FALSE	152.52	6027.5025	0.0253040127316	C	coding	741	2223	394	2616	75.0
PB.2673.1	chr16	-	1493	9	full-splice_match	Tango2	ENSMUST00000115628	1507	9	12	2	multi-exon	FALSE	canonical	4	69	21	54.7631262804	11	0	0	FALSE	1330.12	1551.25	0.857450443191	C	coding	276	828	60	887	15.0
PB.2673.2	chr16	-	1661	9	full-splice_match	Tango2	XM_006522227	1704	9	38	5	multi-exon	FALSE	canonical	2	35	190	62.6178888178	2	0	0	FALSE	221.13	1551.25	0.142549556809	C	coding	276	828	229	1056	15.0
PB.2803.2	chr16	-	1866	8	full-splice_match	Tfg	ENSMUST00000065515	1945	8	75	4	multi-exon	FALSE	canonical	4	499	820	389.143932241	77	0	0	FALSE	7262.925	8439.25	0.86061261368	C	coding	397	1191	238	1428	10.0
PB.2811.1	chr16	-	1312	8	full-splice_match	Arl6	NM_019665	1496	8	181	3	multi-exon	FALSE	canonical	4	272	229	100.309520984	26	0	0	FALSE	2191.25	2191.25	1.0	A	coding	186	558	257	814	25.0
PB.2803.1	chr16	-	1872	8	full-splice_match	Tfg	XM_006521981	1938	8	63	3	multi-exon	FALSE	canonical	4	355	963	386.984495813	11	0	0	FALSE	1176.325	8439.25	0.13938738632	C	coding	393	1179	255	1433	10.0
PB.2844.1	chr16	+	1407	1	incomplete-splice_match	Son	XM_006522972	7185	10	4133	1646	mono-exon	FALSE	canonical	NA	NA	NA	NA	2	0	NA	FALSE	221.75	1102.5	0.201133786848	B	coding	453	1359	48	1406	70.0
PB.2728.1	chr16	+	1151	3	full-splice_match	Wdr53	ENSMUST00000178573	1153	3	2	0	multi-exon	FALSE	canonical	4	129	39	11.0	3	1	0	FALSE	444.495	616.25	0.721290060852	C	coding	358	1074	56	1129	50.0
PB.2728.2	chr16	+	1360	3	full-splice_match	Wdr53	NM_026898	1394	3	25	9	multi-exon	FALSE	canonical	4	31	248	60.0	2	2	0	FALSE	171.755	616.25	0.278709939148	C	coding	358	1074	265	1338	50.0
PB.2813.1	chr16	-	1332	3	full-splice_match	4930453N24Rik	NM_026273	1331	3	-3	2	multi-exon	FALSE	canonical	4	76	445	125.49900398	19	0	0	FALSE	1289.0	1289.0	1.0	A	coding	348	1044	80	1123	15.0
PB.2760.1	chr16	+	3588	11	full-splice_match	Fstl1	NM_008047	3609	11	1	20	multi-exon	FALSE	canonical	4	207	553	371.502355309	140	6	0	FALSE	10372.955	12450.5025	0.833135449754	C	coding	306	918	98	1015	80.0
PB.2760.2	chr16	+	2722	12	novel_not_in_catalog	Fstl1	novel	NA	NA	NA	NA	shared_donors_acceptors	TRUE	non_canonical	0	0	780	521.355924489	1	8	0	TRUE	184.1025	12450.5025	0.0147867525829	C	coding	252	756	131	886	90.0
PB.2760.3	chr16	+	2821	11	novel_not_in_catalog	Fstl1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	0	0	519	414.480397606	1	5	0	TRUE	1835.875	12450.5025	0.147453887905	C	coding	156	468	117	584	85.0
PB.2760.4	chr16	+	2775	11	novel_not_in_catalog	Fstl1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	1	1	865	444.541336661	1	1	0	TRUE	18.3125	12450.5025	0.00147082416955	C	coding	287	861	96	956	90.0
PB.2819.1	chr16	-	4610	4	novel_in_catalog	Nrip1	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	1	1	338	2.0	3	2	1	FALSE	393.5	393.5	1.0	A	coding	1161	3483	687	4169	70.0
PB.2848.1	chr16	+	788	3	full-splice_match	Mrps6	NM_080456	780	3	-12	4	multi-exon	FALSE	canonical	4	1159	157	494.0	3	0	0	FALSE	7576.615	7914.715	0.957282100493	C	coding	125	375	113	487	25.0
PB.2786.4	chr16	-	2904	13	novel_in_catalog	Atp6v1a	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	637	635	253.548811869	1	4	0	FALSE	5405.315	16646.9975	0.32470209718	C	coding	584	1752	19	1770	85.0
PB.2848.3	chr16	+	6627	1	incomplete-splice_match	Slc5a3	NM_017391	10913	2	4284	3	mono-exon	FALSE	canonical	NA	NA	NA	NA	40	3	NA	FALSE	36860.2625	36860.2625	1.0	A	non_coding	NA	NA	NA	NA	15.0
PB.2848.2	chr16	+	1166	3	novel_not_in_catalog	Mrps6	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	3	20	536	1063.49988246	1	3	0	FALSE	208.2125	7914.715	0.0263070116865	C	non_coding	NA	NA	NA	NA	25.0
PB.2786.5	chr16	-	3197	15	full-splice_match	Atp6v1a	XM_006521721	4080	15	-11	894	multi-exon	FALSE	canonical	4	27	201	338.908542235	15	0	0	FALSE	1414.9525	16646.9975	0.0849974597521	C	coding	617	1851	216	2066	85.0
PB.2667.2	chr16	+	1863	6	novel_in_catalog	Klhl22	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	4	58	482	309.528673954	1	2	0	FALSE	1271.395	6076.2475	0.209240160148	C	coding	187	561	712	1272	25.0
PB.2667.3	chr16	+	2553	7	full-splice_match	Klhl22	ENSMUST00000165790	2616	7	61	2	multi-exon	FALSE	canonical	4	96	25	236.662206531	28	0	0	FALSE	1934.855	6076.2475	0.318429260823	C	coding	634	1902	62	1963	25.0
PB.2667.1	chr16	+	2613	7	full-splice_match	Klhl22	XM_006522040	3137	7	521	3	multi-exon	FALSE	canonical	4	282	84	191.102066969	108	0	0	FALSE	2869.9975	6076.2475	0.472330579029	C	coding	634	1902	121	2022	25.0
PB.2744.2	chr16	-	3281	5	full-splice_match	Umps	ENSMUST00000131990	3283	5	0	2	multi-exon	FALSE	canonical	4	165	178	293.746489341	18	0	0	FALSE	1353.0025	8744.0025	0.154734916876	C	coding	303	909	403	1311	35.0
PB.2744.3	chr16	-	1491	7	novel_not_in_catalog	Umps	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	596	328.141737668	1	2	0	TRUE	4445.585	8744.0025	0.508415339543	C	coding	187	561	763	1323	20.0
PB.2744.1	chr16	-	3435	6	full-splice_match	Umps	ENSMUST00000023510	3484	6	35	14	multi-exon	FALSE	canonical	4	699	1180	127.121988657	90	0	0	FALSE	2945.415	8744.0025	0.336849743581	C	coding	481	1443	23	1465	35.0
PB.2800.1	chr16	-	2429	5	full-splice_match	Pcnp	ENSMUST00000130818	938	5	0	-1491	multi-exon	FALSE	canonical	4	206	74	476.186938082	28	1	0	FALSE	3187.4425	12800.265	0.249013789949	C	coding	111	333	411	743	5.0
PB.2830.1	chr16	-	2397	15	full-splice_match	Cct8	NM_009840	2391	15	-1	-5	multi-exon	FALSE	canonical	4	2288	142	724.532953012	322	0	0	FALSE	31422.8025	31422.8025	1.0	A	coding	548	1644	83	1726	40.0
PB.2665.1	chr16	+	4528	19	full-splice_match	Smpd4	ENSMUST00000163476	4532	19	1	3	multi-exon	FALSE	canonical	4	24	911	74.5117440408	15	0	0	FALSE	1031.61	3965.25	0.260162663136	C	coding	794	2382	123	2504	25.0
PB.2665.2	chr16	+	2947	19	full-splice_match	Smpd4	XM_006522721	3638	19	84	607	multi-exon	FALSE	canonical	0	0	99	82.5287828579	1	2	0	FALSE	2079.65	3965.25	0.524468822899	C	coding	824	2472	55	2526	55.0
PB.2665.3	chr16	+	4679	9	novel_in_catalog	Smpd4	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	112	2849	47.4341649025	1	9	0	FALSE	853.99	3965.25	0.215368513965	C	coding	425	1275	2859	4133	75.0
PB.2800.2	chr16	-	2013	5	novel_not_in_catalog	Pcnp	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	4	17	46	556.603988487	1	2	0	TRUE	78.6075	12800.265	0.00614108379787	C	coding	55	165	163	327	5.0
PB.2611.3	chr16	-	2609	7	novel_not_in_catalog	Cdip1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	11	106	678.693598025	1	3	1	FALSE	2687.065	14218.2025	0.188987672668	C	coding	208	624	286	909	30.0
PB.2748.1	chr16	+	2560	8	full-splice_match	Hspbap1	ENSMUST00000023555	4590	8	3	2027	multi-exon	FALSE	canonical	4	84	151	39.9499687109	6	2	0	FALSE	1115.25	1115.25	1.0	A	coding	483	1449	88	1536	30.0
PB.2807.1	chr16	+	1410	1	incomplete-splice_match	Dcbld2	XM_011246022	6361	15	4282	670	mono-exon	FALSE	canonical	NA	NA	NA	NA	1	0	NA	FALSE	303.0	303.0	1.0	A	non_coding	NA	NA	NA	NA	30.0
PB.2842.1	chr16	-	2229	7	full-splice_match	Tmem50b	NM_030018	2222	7	-5	-2	multi-exon	FALSE	canonical	4	540	576	180.024998264	14	0	0	FALSE	8946.75	8946.75	1.0	A	coding	158	474	146	619	25.0
PB.2847.1	chr16	+	1192	1	incomplete-splice_match	Itsn1	ENSMUST00000113996	5147	27	3954	2	mono-exon	FALSE	canonical	NA	NA	NA	NA	1	1	NA	FALSE	267.25	267.25	1.0	A	non_coding	NA	NA	NA	NA	25.0
PB.2756.2	chr16	-	925	7	full-splice_match	Slc15a2	ENSMUST00000164579	1068	7	137	6	multi-exon	FALSE	canonical	4	397	237	145.523194028	1	2	0	FALSE	1781.8925	3699.5	0.48165765644	C	coding	259	777	12	788	20.0
PB.2756.1	chr16	-	3863	22	full-splice_match	Slc15a2	ENSMUST00000023616	3993	22	129	1	multi-exon	TRUE	canonical	4	30	1627	232.043099445	3	4	0	FALSE	1917.6075	3699.5	0.51834234356	C	coding	740	2220	42	2261	45.0
PB.2638.4	chr16	+	1666	2	full-splice_match	3110001I22Rik	ENSMUST00000035426	1722	2	29	27	multi-exon	FALSE	canonical	4	39	121	NA	4	1	0	FALSE	186.3675	186.3675	1.0	A	coding	312	936	327	1262	30.0
PB.2840.1	chr16	+	3852	11	full-splice_match	Ifnar1	ENSMUST00000023689	3909	11	51	6	multi-exon	FALSE	canonical	4	76	846	32.7871926215	6	6	0	FALSE	2300.5	7146.75	0.321894567461	C	coding	590	1770	56	1825	20.0
PB.2754.1	chr16	+	4201	1	genic_intron	novelGene_6	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	NA	NA	NA	NA	3	5	NA	FALSE	236.13	236.13	1.0	A	non_coding	NA	NA	NA	NA	90.0
PB.2638.2	chr16	+	1673	6	full-splice_match	Bfar	NM_001177552	2628	6	42	913	multi-exon	FALSE	canonical	4	18	516	264.319881961	1	0	0	FALSE	1484.5825	5812.38	0.255417316142	C	coding	325	975	254	1228	85.0
PB.2858.2	chr16	+	2680	5	full-splice_match	Wrb	ENSMUST00000023913	2495	5	-8	-177	multi-exon	FALSE	canonical	4	799	346	249.146543223	170	1	0	FALSE	10307.805	15164.745	0.679721617475	C	coding	174	522	79	600	40.0
PB.2858.3	chr16	+	2650	6	novel_not_in_catalog	Wrb	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	566	475.318840359	1	7	0	TRUE	79.45	15164.745	0.00523912535292	C	coding	214	642	76	717	25.0
PB.2638.1	chr16	+	2002	8	novel_not_in_catalog	Bfar	novel	NA	NA	NA	NA	shared_donors_acceptors	TRUE	canonical	4	31	193	228.49070003	3	2	0	FALSE	1763.6	5812.38	0.303421317945	C	coding	450	1350	207	1556	90.0
PB.2846.3	chr16	-	1488	7	novel_not_in_catalog	Cryzl1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	281	477.813771254	1	12	0	TRUE	69.23	5151.25	0.0134394564426	C	coding	140	420	311	730	40.0
PB.2846.2	chr16	-	1665	9	novel_in_catalog	Cryzl1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	515	139	328.881437603	17	0	0	FALSE	2641.705	5151.25	0.51282795438	C	coding	239	717	74	790	20.0
PB.2846.1	chr16	-	1628	13	full-splice_match	Cryzl1	NM_133679	1792	13	161	3	multi-exon	FALSE	canonical	4	173	885	361.174473074	41	0	0	FALSE	2440.315	5151.25	0.473732589177	C	coding	348	1044	91	1134	20.0
PB.2661.1	chr16	+	1926	5	full-splice_match	Snap29	ENSMUST00000023449	3429	5	2	1501	multi-exon	FALSE	canonical	4	37	552	11.4455231423	4	1	0	FALSE	466.0	466.0	1.0	A	coding	260	780	119	898	35.0
PB.2691.1	chr16	-	1420	9	full-splice_match	Alg3	NM_145939	1425	9	2	3	multi-exon	FALSE	canonical	4	152	735	319.612265096	53	2	0	FALSE	4885.1625	4951.5	0.986602544683	C	coding	438	1314	10	1323	35.0
PB.2691.2	chr16	-	1318	9	novel_not_in_catalog	Alg3	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	152	647	364.651888793	1	1	0	FALSE	66.3375	4951.5	0.0133974553166	C	coding	230	690	546	1235	25.0
PB.2858.4	chr16	+	2403	4	novel_in_catalog	Wrb	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	4	72	322	456.692456693	5	0	0	FALSE	4197.2175	15164.745	0.276774683649	C	coding	139	417	55	471	25.0
PB.2768.1	chr16	-	2637	2	antisense	novelGene_Cox17_AS	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	20	NA	3	1	0	FALSE	871.5175	871.5175	1.0	A	non_coding	NA	NA	NA	NA	90.0
PB.2852.1	chr16	+	1890	14	full-splice_match	Chaf1b	NM_028083	1913	14	25	-2	multi-exon	FALSE	canonical	3	36	206	107.661506584	17	0	0	FALSE	2399.75	2399.75	1.0	A	coding	572	1716	81	1796	35.0
PB.2697.1	chr16	-	2566	1	incomplete-splice_match	2510009E07Rik	NM_001001881	5164	2	2590	9	mono-exon	FALSE	canonical	NA	NA	NA	NA	5	0	NA	FALSE	1336.25	1336.25	1.0	A	non_coding	NA	NA	NA	NA	35.0
PB.2829.3	chr16	+	2602	16	novel_in_catalog	Usp16	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	10	874	72.3118247592	1	3	0	FALSE	297.11	1682.2	0.176619902509	C	coding	459	1377	946	2322	30.0
PB.2801.1	chr16	-	1850	2	full-splice_match	Trmt10c	NM_029092	1846	2	-11	7	multi-exon	FALSE	canonical	4	98	285	NA	7	0	0	FALSE	1135.0	1135.0	1.0	A	coding	414	1242	307	1548	20.0
PB.2653.10	chr16	-	2866	22	novel_not_in_catalog	Dnm1l	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	0	0	270	203.413372225	1	5	0	FALSE	109.6625	7891.7475	0.013895844995	C	coding	587	1761	507	2267	50.0
PB.2695.1	chr16	-	1439	1	full-splice_match	Magef1	XR_168546	1779	1	334	6	mono-exon	FALSE	canonical	NA	NA	NA	NA	5	1	NA	FALSE	164.0	164.0	1.0	A	coding	111	333	37	369	25.0
PB.2683.1	chr16	+	3079	13	incomplete-splice_match	Yeats2	XM_006521906	5222	23	1842	301	internal_fragment	FALSE	canonical	2	4	838	14.2478068488	2	0	0	FALSE	686.0	686.0	1.0	A	coding	422	1266	411	1676	85.0
PB.2685.2	chr16	-	2679	16	novel_in_catalog	Abcc5	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	39	350	40.7921561087	1	0	0	FALSE	356.6125	4958.2575	0.0719229487375	C	coding	681	2043	237	2279	15.0
PB.2685.3	chr16	-	2747	18	novel_in_catalog	Abcc5	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	39	548	39.0256326022	1	1	0	FALSE	34.84	4958.2575	0.00702666208845	C	coding	825	2475	3	2477	35.0
PB.2685.1	chr16	-	4844	30	full-splice_match	Abcc5	ENSMUST00000079158	5811	30	59	908	multi-exon	FALSE	canonical	4	30	965	94.6467115118	3	0	0	FALSE	2066.885	4958.2575	0.416857131765	C	coding	1436	4308	141	4448	20.0
PB.2699.1	chr16	+	2936	17	full-splice_match	Senp2	NM_029457	4499	17	169	1394	multi-exon	FALSE	canonical	4	12	1228	13.4536240471	2	5	0	FALSE	458.3125	872.5	0.525286532951	C	coding	507	1521	233	1753	35.0
PB.2699.2	chr16	+	2449	7	novel_in_catalog	Senp2	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	12	732	15.7162336455	1	5	0	FALSE	414.1875	872.5	0.474713467049	C	coding	273	819	439	1257	15.0
PB.2693.3	chr16	+	1632	11	novel_not_in_catalog	Psmd2	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	11	817	1131.55114776	1	4	0	TRUE	1667.1225	39894.9925	0.0417877632136	C	coding	271	813	14	826	15.0
PB.2693.2	chr16	+	1917	15	incomplete-splice_match	Psmd2	ENSMUST00000007212	2961	21	32	1012	3prime_fragment	FALSE	canonical	4	1746	1735	862.811682814	5	1	0	FALSE	70.38	39894.9925	0.00176413117511	C	coding	628	1884	34	1917	70.0
PB.2693.1	chr16	+	2985	21	full-splice_match	Psmd2	ENSMUST00000007212	2961	21	-27	3	multi-exon	FALSE	canonical	4	1746	1794	866.195128132	783	0	0	FALSE	33705.8975	39894.9925	0.844865367502	C	coding	908	2724	93	2816	15.0
PB.2858.1	chr16	+	2591	5	novel_not_in_catalog	Wrb	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	1	1	506	426.960185497	4	5	0	TRUE	580.2725	15164.745	0.0382645735223	C	coding	123	369	156	524	35.0
PB.2693.6	chr16	+	2666	18	novel_in_catalog	Psmd2	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	1746	1476	884.146481077	1	1	0	FALSE	3896.475	39894.9925	0.0976682725282	C	coding	778	2334	165	2498	15.0
PB.2693.5	chr16	+	2987	21	full-splice_match	Psmd2	ENSMUST00000172207	3001	21	9	5	multi-exon	FALSE	canonical	3	11	139	1097.92622703	2	8	0	FALSE	430.8575	39894.9925	0.010799788971	C	coding	851	2553	268	2820	15.0
PB.2693.4	chr16	+	2799	20	novel_not_in_catalog	Psmd2	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	141	2203	1063.53279216	1	7	0	FALSE	124.26	39894.9925	0.0031146766101	C	coding	873	2619	11	2629	15.0
PB.2740.1	chr16	+	1639	1	incomplete-splice_match	Zfp148	XM_006522104	8415	4	5252	1525	mono-exon	FALSE	canonical	NA	NA	NA	NA	1	1	NA	FALSE	283.75	1729.2525	0.164088240439	C	non_coding	NA	NA	NA	NA	30.0
PB.2687.1	chr16	+	1380	10	incomplete-splice_match	Eif2b5	NM_172265	2556	16	1172	4	internal_fragment	FALSE	canonical	4	35	908	17.3205080757	1	0	0	FALSE	506.75	506.75	1.0	A	coding	204	612	465	1076	10.0
PB.2854.1	chr16	-	2141	8	full-splice_match	Dscr3	NM_007834	2405	8	194	70	multi-exon	FALSE	canonical	4	610	548	170.311479355	13	0	0	FALSE	7581.75	7581.75	1.0	A	coding	297	891	42	932	25.0
PB.2742.1	chr16	+	3160	1	incomplete-splice_match	Heg1	ENSMUST00000152782	8161	15	4988	14	mono-exon	FALSE	canonical	NA	NA	NA	NA	6	1	NA	FALSE	1498.0	1498.0	1.0	A	non_coding	NA	NA	NA	NA	50.0
PB.2598.1	chr16	-	2838	2	genic	LOC105246057	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	2	10	341	NA	4	1	0	FALSE	185.21	185.21	1.0	A	coding	214	642	1519	2160	5.0
PB.2856.1	chr16	-	2541	1	novel_in_catalog	Brwd1	novel	NA	NA	NA	NA	mono-exon_by_intron_retention/s	FALSE	canonical	NA	NA	NA	NA	1	3	NA	FALSE	463.75	463.75	1.0	A	non_coding	NA	NA	NA	NA	5.0
